start;end;downloads;package
2016-08-01;2016-08-31;154;AntAngioCOOL
2016-09-01;2016-09-30;195;AntAngioCOOL
2016-10-01;2016-10-31;225;AntAngioCOOL
2016-11-01;2016-11-30;213;AntAngioCOOL
2016-12-01;2016-12-31;219;AntAngioCOOL
2017-01-01;2017-01-31;209;AntAngioCOOL
2017-02-01;2017-02-28;152;AntAngioCOOL
2017-03-01;2017-03-31;183;AntAngioCOOL
2017-04-01;2017-04-30;379;AntAngioCOOL
2017-05-01;2017-05-31;191;AntAngioCOOL
2017-06-01;2017-06-30;181;AntAngioCOOL
2017-07-01;2017-07-31;196;AntAngioCOOL
2017-08-01;2017-08-31;191;AntAngioCOOL
2017-09-01;2017-09-30;229;AntAngioCOOL
2017-10-01;2017-10-31;195;AntAngioCOOL
2017-11-01;2017-11-30;191;AntAngioCOOL
2017-12-01;2017-12-31;133;AntAngioCOOL
2018-01-01;2018-01-31;175;AntAngioCOOL
2018-02-01;2018-02-28;187;AntAngioCOOL
2018-03-01;2018-03-31;159;AntAngioCOOL
2018-04-01;2018-04-30;307;AntAngioCOOL
2018-05-01;2018-05-31;235;AntAngioCOOL
2018-06-01;2018-06-30;327;AntAngioCOOL
2018-07-01;2018-07-31;222;AntAngioCOOL
2018-08-01;2018-08-31;145;AntAngioCOOL
2018-09-01;2018-09-30;425;AntAngioCOOL
2018-10-01;2018-10-31;359;AntAngioCOOL
2018-11-01;2018-11-30;364;AntAngioCOOL
2018-12-01;2018-12-31;306;AntAngioCOOL
2019-01-01;2019-01-31;383;AntAngioCOOL
2019-02-01;2019-02-28;336;AntAngioCOOL
2019-03-01;2019-03-31;615;AntAngioCOOL
2019-04-01;2019-04-30;453;AntAngioCOOL
2019-05-01;2019-05-31;597;AntAngioCOOL
2019-06-01;2019-06-30;264;AntAngioCOOL
2019-07-01;2019-07-31;519;AntAngioCOOL
2019-08-01;2019-08-31;377;AntAngioCOOL
2019-09-01;2019-09-30;382;AntAngioCOOL
2019-10-01;2019-10-31;292;AntAngioCOOL
2019-11-01;2019-11-30;366;AntAngioCOOL
2019-12-01;2019-12-31;420;AntAngioCOOL
2020-01-01;2020-01-31;768;AntAngioCOOL
2020-02-01;2020-02-29;606;AntAngioCOOL
2020-03-01;2020-03-31;591;AntAngioCOOL
2020-04-01;2020-04-30;649;AntAngioCOOL
2020-05-01;2020-05-31;845;AntAngioCOOL
2020-06-01;2020-06-30;781;AntAngioCOOL
2020-07-01;2020-07-31;709;AntAngioCOOL
2020-08-01;2020-08-31;700;AntAngioCOOL
2020-09-01;2020-09-30;856;AntAngioCOOL
2020-10-01;2020-10-31;759;AntAngioCOOL
2020-11-01;2020-11-30;692;AntAngioCOOL
2020-12-01;2020-12-31;682;AntAngioCOOL
2021-01-01;2021-01-31;638;AntAngioCOOL
2021-02-01;2021-02-28;688;AntAngioCOOL
