start;end;downloads;package
2014-01-01;2014-01-31;21206;rJava
2014-02-01;2014-02-28;20698;rJava
2014-03-01;2014-03-31;22972;rJava
2014-04-01;2014-04-30;30754;rJava
2014-05-01;2014-05-31;27456;rJava
2014-06-01;2014-06-30;79683;rJava
2014-07-01;2014-07-31;68628;rJava
2014-08-01;2014-08-31;53476;rJava
2014-09-01;2014-09-30;43039;rJava
2014-10-01;2014-10-31;42962;rJava
2014-11-01;2014-11-30;44860;rJava
2014-12-01;2014-12-31;43873;rJava
2015-01-01;2015-01-31;47579;rJava
2015-02-01;2015-02-28;45369;rJava
2015-03-01;2015-03-31;55592;rJava
2015-04-01;2015-04-30;59371;rJava
2015-05-01;2015-05-31;58762;rJava
2015-06-01;2015-06-30;70761;rJava
2015-07-01;2015-07-31;77745;rJava
2015-08-01;2015-08-31;93620;rJava
2015-09-01;2015-09-30;98996;rJava
2015-10-01;2015-10-31;105546;rJava
2015-11-01;2015-11-30;113165;rJava
2015-12-01;2015-12-31;92368;rJava
2016-01-01;2016-01-31;116670;rJava
2016-02-01;2016-02-29;105817;rJava
2016-03-01;2016-03-31;104942;rJava
2016-04-01;2016-04-30;91556;rJava
2016-05-01;2016-05-31;118943;rJava
2016-06-01;2016-06-30;117215;rJava
2016-07-01;2016-07-31;106574;rJava
2016-08-01;2016-08-31;108471;rJava
2016-09-01;2016-09-30;120946;rJava
2016-10-01;2016-10-31;134884;rJava
2016-11-01;2016-11-30;147999;rJava
2016-12-01;2016-12-31;118118;rJava
2017-01-01;2017-01-31;123550;rJava
2017-02-01;2017-02-28;138221;rJava
2017-03-01;2017-03-31;162562;rJava
2017-04-01;2017-04-30;153474;rJava
2017-05-01;2017-05-31;164487;rJava
2017-06-01;2017-06-30;153560;rJava
2017-07-01;2017-07-31;143023;rJava
2017-08-01;2017-08-31;128602;rJava
2017-09-01;2017-09-30;140409;rJava
2017-10-01;2017-10-31;177898;rJava
2017-11-01;2017-11-30;193822;rJava
2017-12-01;2017-12-31;155733;rJava
2018-01-01;2018-01-31;165852;rJava
2018-02-01;2018-02-28;147561;rJava
2018-03-01;2018-03-31;159540;rJava
2018-04-01;2018-04-30;159216;rJava
2018-05-01;2018-05-31;162024;rJava
2018-06-01;2018-06-30;177379;rJava
2018-07-01;2018-07-31;158981;rJava
2018-08-01;2018-08-31;146357;rJava
2018-09-01;2018-09-30;178890;rJava
2018-10-01;2018-10-31;222617;rJava
2018-11-01;2018-11-30;185174;rJava
2018-12-01;2018-12-31;140504;rJava
2019-01-01;2019-01-31;171958;rJava
2019-02-01;2019-02-28;157729;rJava
2019-03-01;2019-03-31;180216;rJava
2019-04-01;2019-04-30;226195;rJava
2019-05-01;2019-05-31;234531;rJava
2019-06-01;2019-06-30;187438;rJava
2019-07-01;2019-07-31;193139;rJava
2019-08-01;2019-08-31;181692;rJava
2019-09-01;2019-09-30;218554;rJava
2019-10-01;2019-10-31;224568;rJava
2019-11-01;2019-11-30;211361;rJava
2019-12-01;2019-12-31;191373;rJava
2020-01-01;2020-01-31;188198;rJava
2020-02-01;2020-02-29;177194;rJava
2020-03-01;2020-03-31;278531;rJava
2020-04-01;2020-04-30;235117;rJava
2020-05-01;2020-05-31;216240;rJava
2020-06-01;2020-06-30;209888;rJava
2020-07-01;2020-07-31;234058;rJava
2020-08-01;2020-08-31;194163;rJava
2020-09-01;2020-09-30;222106;rJava
2020-10-01;2020-10-31;241788;rJava
2020-11-01;2020-11-30;215793;rJava
2020-12-01;2020-12-31;180348;rJava
2021-01-01;2021-01-31;168354;rJava
2021-02-01;2021-02-28;155617;rJava
2021-03-01;2021-03-31;183883;rJava
2021-04-01;2021-04-30;178903;rJava
2021-05-01;2021-05-31;178902;rJava
2021-06-01;2021-06-30;173072;rJava
2021-07-01;2021-07-31;141658;rJava
2021-08-01;2021-08-31;170959;rJava
2021-09-01;2021-09-30;254287;rJava
2021-10-01;2021-10-31;274728;rJava
2021-11-01;2021-11-30;223077;rJava
2021-12-01;2021-12-31;210562;rJava
2022-01-01;2022-01-31;192186;rJava
2022-02-01;2022-02-28;154710;rJava
2022-03-01;2022-03-31;255524;rJava
2022-04-01;2022-04-30;571935;rJava
2022-05-01;2022-05-31;852808;rJava
2022-06-01;2022-06-30;725289;rJava
2022-07-01;2022-07-31;639130;rJava
2022-08-01;2022-08-31;712597;rJava
2022-09-01;2022-09-30;633770;rJava
2022-10-01;2022-10-31;433795;rJava
2022-11-01;2022-11-30;337744;rJava
2022-12-01;2022-12-31;319878;rJava
2023-01-01;2023-01-31;403060;rJava
2023-02-01;2023-02-28;361259;rJava
2023-03-01;2023-03-31;475392;rJava
2023-04-01;2023-04-30;442267;rJava
2023-05-01;2023-05-31;400598;rJava
2023-06-01;2023-06-30;318804;rJava
2023-07-01;2023-07-31;176955;rJava
2023-08-01;2023-08-31;139944;rJava
2023-09-01;2023-09-30;137718;rJava
2023-10-01;2023-10-31;280514;rJava
2023-11-01;2023-11-30;285721;rJava
2023-12-01;2023-12-31;302552;rJava
2024-01-01;2024-01-31;328002;rJava
2024-02-01;2024-02-29;228557;rJava
2024-03-01;2024-03-31;194654;rJava
2024-04-01;2024-04-30;187262;rJava
2024-05-01;2024-05-31;198761;rJava
2024-06-01;2024-06-26;141049;rJava
